v2tone,positive score,negative score,polarity,activity reference density,self/group reference density,word count,date,date format,year,month,day,min,max,avg,std
-2.197802198,0.769230769,2.967032967,3.736263736,23.73626374,0.989010989,844,2.02E+13,3/3/15 20:00,2015,3,3,,,,
1.353637902,2.538071066,1.184433164,3.72250423,19.79695431,0,531,2.02E+13,3/3/15 22:15,2015,3,3,,,,
1.305970149,1.958955224,0.652985075,2.611940299,24.34701493,1.399253731,945,2.02E+13,3/3/15 23:15,2015,3,3,,,,
-0.479744136,2.878464819,3.358208955,6.236673774,25.21321962,0.533049041,1720,2.02E+13,3/3/15 23:15,2015,3,3,,,,
-0.434153401,2.701398939,3.13555234,5.836951278,23.68547998,0.530631934,1803,2.02E+13,3/3/15 23:15,2015,3,3,,,,
-0.479744136,2.878464819,3.358208955,6.236673774,25.21321962,0.533049041,1720,2.02E+13,3/4/15 0:00,2015,3,4,,,,
-2.197802198,0.769230769,2.967032967,3.736263736,23.73626374,0.989010989,844,2.02E+13,3/4/15 1:30,2015,3,4,,,,
-0.787401575,0.262467192,1.049868766,1.312335958,20.47244094,2.624671916,351,2.02E+13,3/4/15 5:30,2015,3,4,,,,
0.627943485,2.197802198,1.569858713,3.767660911,24.0188383,1.25588697,598,2.02E+13,3/4/15 12:00,2015,3,4,,,,
-0.711743772,1.067615658,1.779359431,2.846975089,22.41992883,3.202846975,256,2.02E+13,3/4/15 12:15,2015,3,4,,,,
0,0.789473684,0.789473684,1.578947368,22.36842105,1.052631579,359,2.02E+13,3/4/15 13:30,2015,3,4,,,,
-0.772200772,0.772200772,1.544401544,2.316602317,25.0965251,0,239,2.02E+13,3/4/15 15:30,2015,3,4,,,,
-0.344827586,0.344827586,0.689655172,1.034482759,21.03448276,1.724137931,257,2.02E+13,3/4/15 16:15,2015,3,4,,,,
-2.564102564,0,2.564102564,2.564102564,23.5042735,3.846153846,213,2.02E+13,3/4/15 17:30,2015,3,4,,,,
-2.597402597,0,2.597402597,2.597402597,23.80952381,3.896103896,212,2.02E+13,3/4/15 17:30,2015,3,4,,,,
-2.564102564,0,2.564102564,2.564102564,23.5042735,3.846153846,218,2.02E+13,3/4/15 17:45,2015,3,4,,,,
-1.851851852,0,1.851851852,1.851851852,23.14814815,4.166666667,196,2.02E+13,3/4/15 18:00,2015,3,4,,,,
-2.553191489,0,2.553191489,2.553191489,23.82978723,3.829787234,212,2.02E+13,3/4/15 18:15,2015,3,4,,,,
0.748129676,0.997506234,0.249376559,1.246882793,18.95261845,0.748129676,332,2.02E+13,3/4/15 18:15,2015,3,4,,,,
1.877934272,3.286384977,1.408450704,4.694835681,25.82159624,0,193,2.02E+13,3/4/15 18:30,2015,3,4,,,,
-2.575107296,0,2.575107296,2.575107296,23.60515021,3.862660944,216,2.02E+13,3/4/15 18:45,2015,3,4,,,,
-2.575107296,0,2.575107296,2.575107296,23.60515021,3.862660944,216,2.02E+13,3/4/15 18:45,2015,3,4,,,,
-2.597402597,0,2.597402597,2.597402597,23.80952381,3.896103896,212,2.02E+13,3/4/15 18:45,2015,3,4,,,,
-2.564102564,0,2.564102564,2.564102564,23.5042735,3.846153846,218,2.02E+13,3/4/15 19:00,2015,3,4,,,,
2.083333333,2.604166667,0.520833333,3.125,28.125,0.520833333,169,2.02E+13,3/4/15 20:15,2015,3,4,,,,
1.622718053,3.042596349,1.419878296,4.462474645,21.5010142,0,449,2.02E+13,3/4/15 20:45,2015,3,4,,,,
2.232142857,3.571428571,1.339285714,4.910714286,28.125,0.446428571,205,2.02E+13,3/4/15 21:00,2015,3,4,,,,
1.826484018,3.196347032,1.369863014,4.566210046,26.94063927,0,201,2.02E+13,3/4/15 21:00,2015,3,4,,,,
0.791139241,1.265822785,0.474683544,1.740506329,23.89240506,0.632911392,585,2.02E+13,3/4/15 22:00,2015,3,4,,,,
3.10880829,4.14507772,1.03626943,5.18134715,22.27979275,0,158,2.02E+13,3/4/15 22:00,2015,3,4,,,,
2.824858757,3.95480226,1.129943503,5.084745763,22.59887006,0,158,2.02E+13,3/4/15 22:15,2015,3,4,,,,
2.803738318,3.738317757,0.934579439,4.672897196,22.42990654,0,191,2.02E+13,3/4/15 22:15,2015,3,4,,,,
-1.2,0.933333333,2.133333333,3.066666667,21.33333333,2.4,682,2.02E+13,3/4/15 23:00,2015,3,4,,,,
-1.46627566,1.46627566,2.93255132,4.398826979,24.63343109,3.812316716,320,2.02E+13,3/4/15 23:45,2015,3,4,,,,
3.211009174,4.128440367,0.917431193,5.04587156,22.93577982,0,195,2.02E+13,3/4/15 23:45,2015,3,4,,,,
2.43902439,3.414634146,0.975609756,4.390243902,22.43902439,0,182,2.02E+13,3/5/15 0:45,2015,3,5,,,,
1.785714286,2.529761905,0.744047619,3.273809524,20.68452381,0.595238095,629,2.02E+13,3/5/15 1:15,2015,3,5,,,,
2.525252525,3.535353535,1.01010101,4.545454545,22.72727273,0,158,2.02E+13,3/5/15 2:00,2015,3,5,,,,
-2.597402597,0,2.597402597,2.597402597,23.80952381,3.896103896,212,2.02E+13,3/5/15 7:45,2015,3,5,,,,
2.43902439,3.414634146,0.975609756,4.390243902,22.43902439,0,182,2.02E+13,3/5/15 9:30,2015,3,5,,,,
1.459854015,1.824817518,0.364963504,2.189781022,20.80291971,2.189781022,242,2.02E+13,3/5/15 10:30,2015,3,5,,,,
2.314814815,3.240740741,0.925925926,4.166666667,22.68518519,0,192,2.02E+13,3/5/15 12:15,2015,3,5,,,,
1.948051948,1.948051948,0,1.948051948,29.87012987,0.649350649,142,2.02E+13,3/5/15 13:00,2015,3,5,,,,
1.109917651,2.494331066,1.384413414,3.87874448,19.66821816,0.250626566,7252,2.02E+13,3/5/15 13:45,2015,3,5,,,,
2,3.2,1.2,4.4,26.8,0.4,231,2.02E+13,3/5/15 14:30,2015,3,5,,,,
2.798789713,3.63086233,0.832072617,4.462934947,23.903177,1.7397882,1136,2.02E+13,3/5/15 16:00,2015,3,5,,,,
2.304147465,3.225806452,0.921658986,4.147465438,22.11981567,0,194,2.02E+13,3/5/15 16:45,2015,3,5,,,,
2.242152466,3.587443946,1.34529148,4.932735426,28.25112108,0,204,2.02E+13,3/5/15 19:45,2015,3,5,,,,
2.808988764,3.93258427,1.123595506,5.056179775,22.47191011,0,158,2.02E+13,3/6/15 10:15,2015,3,6,,,,
0.809716599,1.214574899,0.4048583,1.619433198,19.43319838,0.809716599,218,2.02E+13,3/6/15 11:30,2015,3,6,,,,
0,0.952380952,0.952380952,1.904761905,20,0,171,2.02E+13,3/6/15 13:15,2015,3,6,,,,
0,0.952380952,0.952380952,1.904761905,20,0,171,2.02E+13,3/6/15 13:15,2015,3,6,,,,
0,0.961538462,0.961538462,1.923076923,19.23076923,0,170,2.02E+13,3/6/15 13:15,2015,3,6,,,,
2.305475504,3.314121037,1.008645533,4.322766571,21.03746398,0,609,2.02E+13,3/6/15 15:15,2015,3,6,,,,
1.111111111,3.888888889,2.777777778,6.666666667,21.94444444,1.388888889,331,2.02E+13,3/6/15 18:00,2015,3,6,,,,
1.03626943,2.590673575,1.554404145,4.14507772,20.7253886,0,172,2.02E+13,3/6/15 21:15,2015,3,6,,,,
0.684931507,2.739726027,2.054794521,4.794520548,28.08219178,3.424657534,135,2.02E+13,3/7/15 1:15,2015,3,7,,,,
-1.572688914,2.263137706,3.835826621,6.098964327,25.0863061,1.342539317,2429,2.02E+13,3/7/15 2:30,2015,3,7,,,,
-1.260126013,1.890189019,3.150315032,5.04050405,24.57245725,0.540054005,993,2.02E+13,3/7/15 15:00,2015,3,7,,,,
2.808988764,3.93258427,1.123595506,5.056179775,22.47191011,0,158,2.02E+13,3/8/15 2:15,2015,3,8,,,,
0,0.940438871,0.940438871,1.880877743,19.12225705,0,290,2.02E+13,3/9/15 5:15,2015,3,9,,,,
0,0.905797101,0.905797101,1.811594203,24.45652174,2.355072464,495,2.02E+13,3/9/15 10:30,2015,3,9,,,,
-0.657894737,2.631578947,3.289473684,5.921052632,32.23684211,1.315789474,141,2.02E+13,3/9/15 13:15,2015,3,9,,,,
0.588235294,3.529411765,2.941176471,6.470588235,32.35294118,0,155,2.02E+13,3/9/15 16:30,2015,3,9,,,,
1.82038835,3.519417476,1.699029126,5.218446602,29.12621359,0.72815534,723,2.02E+13,3/9/15 18:45,2015,3,9,,,,
0,0.905797101,0.905797101,1.811594203,24.45652174,2.355072464,495,2.02E+13,3/9/15 21:30,2015,3,9,,,,
0,0.905797101,0.905797101,1.811594203,24.45652174,2.355072464,495,2.02E+13,3/9/15 21:30,2015,3,9,,,,
0,0.905797101,0.905797101,1.811594203,24.45652174,2.355072464,495,2.02E+13,3/9/15 22:15,2015,3,9,,,,
0,0.905797101,0.905797101,1.811594203,24.45652174,2.355072464,495,2.02E+13,3/9/15 22:15,2015,3,9,,,,
3.260869565,4.347826087,1.086956522,5.434782609,27.17391304,0,86,2.02E+13,3/10/15 15:45,2015,3,10,,,,
0.294406281,3.238469087,2.944062807,6.182531894,20.90284593,0.686947988,896,2.02E+13,3/10/15 21:30,2015,3,10,,,,
-0.377358491,0.754716981,1.132075472,1.886792453,19.62264151,0.566037736,489,2.02E+13,3/11/15 4:30,2015,3,11,,,,
0,1.886792453,1.886792453,3.773584906,22.41953385,0.554938957,832,2.02E+13,3/11/15 6:00,2015,3,11,,,,
-1.544401544,0.386100386,1.930501931,2.316602317,24.71042471,0.386100386,238,2.02E+13,3/11/15 6:15,2015,3,11,,,,
