Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,1.1803564
1/31/2016,0.991703591,1.571676596,0.67757028,1.223033195,-0.188652809,0.391320196,-0.50278612,0.042676795,,,
2/10/2016,1.044399514,1.018051552,0.895952556,1.226987421,-0.135956886,-0.162304848,-0.284403844,0.046631021,,,
2/17/2016,-0.111604065,0.466397724,1.01903716,0.880960469,-1.291960466,-0.713958676,-0.16131924,-0.299395931,,,
2/24/2016,1.134169604,0.511282769,0.764667161,0.797716972,-0.046186796,-0.669073631,-0.415689239,-0.382639428,,,
3/2/2016,1.721006876,1.42758824,0.946992982,0.812281631,0.540650476,0.24723184,-0.233363418,-0.368074769,,,
3/14/2016,0.959929193,1.340468034,0.925875402,0.910913979,-0.220427207,0.160111634,-0.254480998,-0.269442421,,,
3/21/2016,2.015634801,1.487781997,1.457685118,1.238361139,0.835278401,0.307425597,0.277328718,0.058004739,,,
3/28/2016,2.283112174,2.149373487,1.744920761,1.254793961,1.102755774,0.969017087,0.564564361,0.074437561,,,
4/5/2016,0.912520279,1.597816226,1.542799112,1.244896047,-0.267836121,0.417459826,0.362442712,0.064539647,,,
4/13/2016,0.851951412,0.882235845,1.515804666,1.220840034,-0.328404988,-0.298120555,0.335448266,0.040483634,,,
4/20/2016,1.050112506,0.951031959,1.274424093,1.366054606,-0.130243894,-0.229324441,0.094067693,0.185698206,,,
4/27/2016,0.562852855,0.80648268,0.844359263,1.294640012,-0.617503545,-0.37387372,-0.335997137,0.114283612,,,
5/4/2016,1.260854581,0.911853718,0.931442838,1.237120975,0.080498181,-0.268502682,-0.248913562,0.056764575,,,
5/11/2016,1.047130868,1.153992724,0.980237702,1.248021184,-0.133225532,-0.026363676,-0.200118698,0.067664784,,,
5/18/2016,1.385855014,1.216492941,1.064173329,1.169298711,0.205498614,0.036136541,-0.116183071,-0.011057689,,,
5/25/2016,3.268432638,2.327143826,1.740568275,1.292463769,2.088076238,1.146787426,0.560211875,0.112107369,,,
6/1/2016,0.923707993,2.096070316,1.656281628,1.293862233,-0.256648407,0.915713916,0.475925228,0.113505833,,,
6/8/2016,1.204800293,1.064254143,1.695698985,1.337968344,0.024443893,-0.116102257,0.515342585,0.157611944,,,
6/15/2016,1.878718582,1.541759438,1.818914877,1.441544103,0.698362182,0.361403038,0.638558477,0.261187703,,,
6/22/2016,1.051813488,1.465266035,1.264760089,1.502664182,-0.128542912,0.284909635,0.084403689,0.322307782,,,
6/29/2016,1.833195242,1.442504365,1.492131901,1.574206765,0.652838842,0.262147965,0.311775501,0.393850365,,,
7/6/2016,2.19470943,2.013952336,1.739609185,1.717654085,1.01435303,0.833595936,0.559252785,0.537297685,,,
7/13/2016,1.937422853,2.066066141,1.754285253,1.786600065,0.757066453,0.885709741,0.573928853,0.606243665,,,
7/20/2016,2.002632782,1.970027817,1.991990076,1.628375083,0.822276382,0.789671417,0.811633676,0.448018683,,,
7/27/2016,1.826482569,1.914557675,1.990311908,1.741221905,0.646126169,0.734201275,0.809955508,0.560865505,,,
8/3/2016,2.543796527,2.185139548,2.077583683,1.908596434,1.363440127,1.004783148,0.897227283,0.728240034,,,
8/10/2016,3.042151586,2.792974057,2.353765866,2.05402556,1.861795186,1.612617657,1.173409466,0.87366916,,,
8/18/2016,2.099282248,2.570716917,2.377928233,2.184959155,0.918925848,1.390360517,1.197571833,1.004602755,,,
8/25/2016,2.150324303,2.124803275,2.458888666,2.224600287,0.969967903,0.944446875,1.278532266,1.044243887,,,
9/1/2016,1.447906164,1.799115234,2.184916075,2.131249879,0.267549764,0.618758833,1.004559675,0.950893479,,,
9/8/2016,1.290672273,1.369289219,1.747046247,2.050406057,0.110315873,0.188932819,0.566689847,0.870049657,,,
9/15/2016,1.893882695,1.592277484,1.695696359,2.036812296,0.713526295,0.411921084,0.515339959,0.856455896,,,
9/23/2016,0.222017942,1.057950319,1.213619769,1.836254218,-0.958338458,-0.122406081,0.033263369,0.655897818,,,
9/30/2016,2.267639088,1.244828515,1.418553,1.801734538,1.087282688,0.064472115,0.2381966,0.621378138,,,
10/7/2016,2.541022054,2.404330571,1.731140445,1.739093346,1.360665654,1.223974171,0.550784045,0.558736946,,,
10/14/2016,0.512319409,1.526670732,1.385749623,1.540722991,-0.668036991,0.346314332,0.205393223,0.360366591,,,
10/21/2016,2.617017677,1.564668543,1.984499557,1.599059663,1.436661277,0.384312143,0.804143157,0.418703263,,,
10/28/2016,2.837781205,2.727399441,2.127035086,1.772794043,1.657424805,1.547043041,0.946678686,0.592437643,,,
11/6/2016,1.387622038,2.112701622,1.838685082,1.784912764,0.207265638,0.932345222,0.658328682,0.604556364,,,
11/13/2016,1.137432585,1.262527312,1.994963376,1.6903565,-0.042923815,0.082170912,0.814606976,0.5100001,,,
11/20/2016,1.555373442,1.346403014,1.729552318,1.857025937,0.375017042,0.166046614,0.549195918,0.676669537,,,
11/27/2016,1.754659203,1.655016323,1.458771817,1.792903452,0.574302803,0.474659923,0.278415417,0.612547052,,,
12/4/2016,0.838718098,1.296688651,1.321545832,1.580115457,-0.341638302,0.116332251,0.141189432,0.399759057,,,
12/11/2016,1.416157534,1.127437816,1.391227069,1.693095223,0.235801134,-0.052918584,0.210870669,0.512738823,,,
12/18/2016,1.846165784,1.631161659,1.463925155,1.596738736,0.665809384,0.450805259,0.283568755,0.416382336,,,
12/26/2016,2.260065762,2.053115773,1.590276795,1.524524306,1.079709362,0.872759373,0.409920395,0.344167906,,,
1/2/2017,1.810391211,2.035228487,1.833195073,1.577370453,0.630034811,0.854872087,0.652838673,0.397014053,,,
1/9/2017,1.989097512,1.899744361,1.976430067,1.683828568,0.808741112,0.719387961,0.796073667,0.503472168,,,
1/16/2017,0.866293521,1.427695516,1.731462001,1.597693578,-0.314062879,0.247339116,0.551105601,0.417337178,,,
1/23/2017,0.662228507,0.764261014,1.332002687,1.461139741,-0.518127893,-0.416095386,0.151646287,0.280783341,,,
1/30/2017,0.582021027,0.622124767,1.024910142,1.429052607,-0.598335373,-0.558231633,-0.155446258,0.248696207,,,
2/6/2017,0.763962142,0.672991585,0.718626299,1.347528183,-0.416394258,-0.507364815,-0.461730101,0.167171783,,,
2/13/2017,1.0947615,0.929361821,0.775743294,1.253602648,-0.0855949,-0.250994579,-0.404613106,0.073246248,,,
2/20/2017,1.521809805,1.308285652,0.990638619,1.161320653,0.341453405,0.127929252,-0.189717781,-0.019035747,,,
2/27/2017,1.037399939,1.279604872,1.104483346,1.064696744,-0.142956461,0.099248472,-0.075873054,-0.115659656,,,
3/6/2017,1.423689425,1.230544682,1.269415167,0.994020733,0.243333025,0.050188282,0.089058767,-0.186335667,,,
3/13/2017,1.036830627,1.230260026,1.254932449,1.015337872,-0.143525773,0.049903626,0.074576049,-0.165018528,,,
3/20/2017,1.985892718,1.511361673,1.370953177,1.180795898,0.805536318,0.331005273,0.190596777,0.000439498,,,
3/27/2017,2.159108143,2.072500431,1.651380228,1.377931787,0.978751743,0.892144031,0.471023828,0.197575387,,,
4/3/2017,0.36453319,1.261820667,1.38659117,1.328003168,-0.81582321,0.081464267,0.20623477,0.147646768,,,
4/10/2017,0.960534891,0.66253404,1.367517235,1.311224842,-0.219821509,-0.51782236,0.187160835,0.130868442,,,
