Week,Average
2015-02-18,0.2878425365997486
2015-02-25,-0.7228750565432639
2015-03-04,-0.43143526765450396
2015-03-11,-0.4384361461818189
2015-03-18,0.46008685030699153
2015-03-25,1.1241583424752963
2015-04-01,-0.13549975267685588
2015-04-08,1.0734256052021274
2015-04-15,-0.010344311777777847
2015-04-22,0.6284936433117638
2015-04-29,-0.5600172268901598
2015-05-06,0.3944731256722972
2015-05-13,0.16867467444642842
2015-05-20,-0.09885556365989864
2015-05-27,-1.4288487572516695
2015-06-03,1.0220448196687768
2015-06-10,0.4209080847582699
2015-06-17,0.5844654917189779
2015-06-24,-0.7741247118470596
2015-07-01,0.1771484785019305
2015-07-08,-0.07957315502127653
2015-07-15,0.29817697541495297
2015-07-22,0.6755505420120639
2015-07-29,0.343417980543807
2015-08-05,-0.003250788743362851
2015-08-12,0.15810405264469457
2015-08-19,-0.35942857691240876
2015-08-26,0.49848822161439993
2015-09-02,0.015402515369201742
2015-09-09,0.8453241110397581
2015-09-16,-1.2982258786293455
2015-09-23,-0.08160575443375015
2015-09-30,0.4384839758850571
2015-10-07,1.1039875650939597
2015-10-14,-0.5383835798057863
2015-10-21,0.781217334870293
2015-10-28,0.6500586251333337
2015-11-04,0.18851491758876424
2015-11-11,0.8822457996542048
2015-11-18,-0.6423938070174411
2015-11-25,0.5674286247550332
2015-12-02,0.3048796108561871
2015-12-09,0.4542319954493925
2015-12-16,0.2490130890375002
2015-12-23,-0.25211121119488805
2015-12-30,-0.9300252718891686
2016-01-06,-0.3354247388969188
2016-01-13,-0.07616282177393621
2016-01-20,0.03077778385321103
2016-01-27,-0.04446880291745036
2016-02-03,-0.34610614514258803
2016-02-10,0.35770609229054073
2016-02-17,-2.7317699222915315
2016-02-24,-3.0130884057276464
2016-03-02,-2.517125544298298
2016-03-09,-1.693080147597739
2016-03-16,-1.1605793598457002
2016-03-23,-1.7822696764900239
2016-03-30,-1.5825289081638152
2016-04-06,-1.0275381901879421
2016-04-13,-0.4249475838898072
2016-04-20,-1.039489914981796
2016-04-27,-1.2174188886135535
2016-05-04,-0.5322093654414818
2016-05-11,0.2516968623391391
2016-05-18,1.063849390036224
2016-05-25,-0.6220972717649409
2016-06-01,-0.13912634290972237
2016-06-08,0.8142794293347897
2016-06-15,-0.23083114219789608
2016-06-22,-0.9508129931002789
2016-06-29,-1.4293838128555396
2016-07-06,0.405906408755319
2016-07-13,0.2217559540894737
2016-07-20,-0.3813502757768926
2016-07-27,0.3303789851501763
2016-08-03,-0.13031307729957803
2016-08-10,0.004403941059829114
2016-08-17,-0.25848730365707473
2016-08-24,-2.1821696368001815
2016-08-31,-2.042470228808652
2016-09-07,0.49293228917798737
2016-09-14,-0.5674437968592294
2016-09-21,0.062383648109311796
2016-09-28,-0.3126706119057591
2016-10-05,-0.08208538487004474
2016-10-12,0.6038017446960777
2016-10-19,0.28480635579154084
2016-10-26,0.2616295014703609
2016-11-02,0.33106042631481486
2016-11-09,0.12905948235267856
2016-11-16,-0.5016673590415095
2016-11-23,-0.38450413712962955
2016-11-30,0.46484099279545465
2016-12-07,-0.11353466652996257
2016-12-14,-1.2681685443964525
2016-12-21,-0.9657766179452045
2016-12-28,-0.9780925705057468
2017-01-04,-0.14690133645700632
2017-01-11,-0.2237033220174215
2017-01-18,-1.848433650319195
2017-01-25,-1.0930642068228098
2017-02-01,0.39922209784230317
2017-02-08,0.5202880805978839
2017-02-15,-0.0312029854173442
2017-02-22,0.276057700162722
2017-03-01,-0.22528400943749993
2017-03-08,0.15856923183928576
2017-03-15,0.3203252786786468
2017-03-22,0.4598355794420293
2017-03-29,0.489720901617978
