Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,0.4075891
1/6/2016,-0.164482099,-0.338945693,-0.127770165,0.225912077,-0.572071199,-0.746534793,-0.535359265,-0.181677023,,,
1/13/2016,0.161121276,-0.001680412,-0.159358515,0.241389305,-0.246467824,-0.409269512,-0.566947615,-0.166199795,,,
1/20/2016,-0.120108682,0.020506297,-0.159219698,0.177585638,-0.527697782,-0.387082803,-0.566808798,-0.230003462,,,
1/27/2016,0.002347777,-0.058880452,-0.030280432,0.094065552,-0.405241323,-0.466469552,-0.437869532,-0.313523548,,,
2/3/2016,-0.1270072,-0.062329711,-0.020911707,-0.074340936,-0.5345963,-0.469918811,-0.428500807,-0.481930036,,,
2/10/2016,0.61356044,0.24327662,0.092198084,-0.033580216,0.20597134,-0.16431248,-0.315391016,-0.441169316,,,
2/17/2016,0.888360056,0.750960248,0.344315268,0.092547785,0.480770956,0.343371148,-0.063273832,-0.315041315,,,
2/24/2016,0.283941943,0.586150999,0.41471381,0.192216689,-0.123647157,0.178561899,0.00712471,-0.215372411,,,
3/2/2016,0.874790443,0.579366193,0.66516322,0.322125757,0.467201343,0.171777093,0.25757412,-0.085463343,,,
3/9/2016,0.324061505,0.599425974,0.592788487,0.342493285,-0.083527595,0.191836874,0.185199387,-0.065095815,,,
3/16/2016,0.289169311,0.306615408,0.4429908,0.393653034,-0.118419789,-0.100973692,0.0354017,-0.013936066,,,
3/23/2016,0.477554692,0.383362001,0.491393988,0.453053899,0.069965592,-0.024227099,0.083804888,0.045464799,,,
3/30/2016,-0.67044883,-0.096447069,0.105084169,0.385123695,-1.07803793,-0.504036169,-0.302504931,-0.022465405,,,
4/6/2016,0.52072258,-0.074863125,0.154249438,0.373518962,0.11313348,-0.482452225,-0.253339662,-0.034070138,,,
4/13/2016,0.261862462,0.391292521,0.147422726,0.295206763,-0.145726638,-0.016296579,-0.260166374,-0.112382337,,,
4/20/2016,0.709462901,0.485662681,0.205399778,0.348396883,0.301873801,0.078073581,-0.202189322,-0.059192217,,,
4/27/2016,1.272869364,0.991166132,0.691229327,0.398156748,0.865280264,0.583577032,0.283640227,-0.009432352,,,
