Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-1.1686614
12/30/2015,-2.472805357,-1.702482481,-1.712290443,-1.280809417,-1.304143957,-0.533821081,-0.543629043,-0.112148017,,,
1/6/2016,-1.068309768,-1.770557563,-1.480656497,-1.25221795,0.100351632,-0.601896163,-0.311995097,-0.08355655,,,
1/13/2016,-2.605890834,-1.837100301,-1.769791391,-1.374997619,-1.437229434,-0.668438901,-0.601129991,-0.206336219,,,
1/20/2016,-1.464178121,-2.035034478,-1.90279602,-1.519282522,-0.295516721,-0.866373078,-0.73413462,-0.350621122,,,
1/27/2016,-0.89509011,-1.179634115,-1.508367208,-1.610328826,0.27357129,-0.010972715,-0.339705808,-0.441667426,,,
2/3/2016,-2.763769859,-1.829429984,-1.932232231,-1.706444364,-1.595108459,-0.660768584,-0.763570831,-0.537782964,,,
2/10/2016,-0.518847828,-1.641308844,-1.410471479,-1.590131435,0.649813572,-0.472647444,-0.241810079,-0.421470035,,,
2/17/2016,-1.170961925,-0.844904877,-1.337167431,-1.619981725,-0.002300525,0.323756523,-0.168506031,-0.451320325,,,
2/24/2016,-1.356961411,-1.263961668,-1.452635256,-1.480501232,-0.188300011,-0.095300268,-0.283973856,-0.311839832,,,
3/2/2016,-0.287962717,-0.822462064,-0.83368347,-1.382957851,0.880698683,0.346199336,0.33497793,-0.214296451,,,
3/9/2016,-1.393303913,-0.840633315,-1.052297492,-1.231384486,-0.224642513,0.328028085,0.116363908,-0.062723086,,,
3/16/2016,0.061090495,-0.666106709,-0.744284387,-1.040725909,1.229751895,0.502554691,0.424377013,0.127935491,,,
3/23/2016,-0.76767424,-0.353291873,-0.596962594,-1.024798925,0.40098716,0.815369527,0.571698806,0.143862475,,,
3/30/2016,-0.190514129,-0.479094185,-0.572600447,-0.703141959,0.978147271,0.689567215,0.596060953,0.465519441,,,
4/6/2016,-0.434008837,-0.312261483,-0.332776678,-0.692537085,0.734652563,0.856399917,0.835884722,0.476124315,,,
4/13/2016,-0.941000433,-0.687504635,-0.58329941,-0.663791898,0.227660967,0.481156765,0.58536199,0.504869502,,,
