Week,Average,Company
2/18/2015,2.659907752,amazon
2/25/2015,-0.298307047,amazon
3/4/2015,0.209068303,amazon
3/12/2015,1.715083966,amazon
3/19/2015,0.176117252,amazon
3/30/2015,1.023768833,amazon
4/7/2015,1.302276928,amazon
4/14/2015,0.238750915,amazon
4/21/2015,0.952201038,amazon
4/28/2015,0.64690629,amazon
5/5/2015,1.403552053,amazon
5/12/2015,2.824041584,amazon
5/19/2015,1.081109809,amazon
5/26/2015,0.190916421,amazon
6/2/2015,0.684686421,amazon
6/9/2015,2.484464577,amazon
6/16/2015,1.100806245,amazon
6/23/2015,1.735997519,amazon
6/30/2015,1.442044081,amazon
7/8/2015,1.410922321,amazon
7/16/2015,1.290901402,amazon
7/23/2015,1.328944114,amazon
7/30/2015,1.764458688,amazon
8/6/2015,0.624143772,amazon
8/13/2015,0.231797951,amazon
8/20/2015,1.265093638,amazon
8/27/2015,0.456459952,amazon
9/3/2015,0.70864637,amazon
9/14/2015,0.783674249,amazon
9/21/2015,1.668522283,amazon
10/2/2015,2.131757433,amazon
10/9/2015,0.545305523,amazon
10/16/2015,1.388992862,amazon
10/23/2015,1.898030318,amazon
11/3/2015,1.511237145,amazon
11/10/2015,1.51569415,amazon
11/19/2015,1.150299474,amazon
11/30/2015,0.684131007,amazon
12/7/2015,1.376746514,amazon
12/15/2015,1.317070492,amazon
12/22/2015,1.128955827,amazon
12/29/2015,1.111049339,amazon
1/5/2016,1.70258792,amazon
1/12/2016,0.73494984,amazon
1/19/2016,0.576760319,amazon
1/26/2016,1.075262623,amazon
2/2/2016,0.768444469,amazon
2/9/2016,0.461632435,amazon
2/16/2016,0.545380766,amazon
2/23/2016,1.143380513,amazon
3/2/2016,1.435109008,amazon
3/10/2016,0.172914383,amazon
3/17/2016,-0.044198626,amazon
3/24/2016,-0.511499318,amazon
4/1/2016,0.728895659,amazon
4/8/2016,0.432943336,amazon
4/18/2016,0.66395261,amazon
4/26/2016,1.133571069,amazon
5/3/2016,1.032109193,amazon
5/10/2016,1.032817636,amazon
5/17/2016,1.238914714,amazon
5/24/2016,1.071887865,amazon
5/31/2016,0.360714151,amazon
6/7/2016,1.298376028,amazon
6/14/2016,2.010993092,amazon
6/21/2016,1.870914745,amazon
6/28/2016,1.32443463,amazon
7/6/2016,0.57787319,amazon
7/13/2016,1.769671017,amazon
7/20/2016,0.624988859,amazon
7/27/2016,1.600141127,amazon
8/3/2016,1.955608798,amazon
8/10/2016,1.56691323,amazon
8/17/2016,0.742855588,amazon
8/26/2016,0.764056379,amazon
9/2/2016,1.869298255,amazon
9/11/2016,0.851766306,amazon
9/18/2016,-0.159652929,amazon
9/26/2016,1.036881577,amazon
10/3/2016,1.33595816,amazon
10/10/2016,1.18433735,amazon
10/17/2016,-1.348891198,amazon
10/24/2016,1.506779799,amazon
10/31/2016,1.051385019,amazon
11/7/2016,1.015991955,amazon
11/14/2016,1.148330662,amazon
11/21/2016,0.263248169,amazon
11/28/2016,1.63882128,amazon
12/5/2016,0.690864612,amazon
12/12/2016,1.328271719,amazon
12/19/2016,0.345472786,amazon
12/27/2016,0.95906819,amazon
1/5/2017,0.930835051,amazon
1/12/2017,1.022381472,amazon
1/20/2017,0.238808924,amazon
1/27/2017,1.731789204,amazon
2/3/2017,0.701315159,amazon
2/10/2017,0.01204915,amazon
2/17/2017,2.08490287,amazon
2/27/2017,-1.02059831,amazon
3/7/2017,1.058204163,amazon
3/15/2017,0.883030488,amazon
3/22/2017,1.250915179,amazon
3/29/2017,1.055310073,amazon
4/5/2017,1.211862808,amazon
4/12/2017,0.202455294,amazon
4/19/2017,0.927228605,amazon
2/18/2015,-2.383531961,amd
3/2/2015,-0.59347181,amd
3/10/2015,-0.670969859,amd
4/7/2015,-0.365452645,amd
4/15/2015,-1.58215003,amd
4/24/2015,-0.884955752,amd
5/3/2015,-0.5,amd
5/20/2015,2.868963886,amd
6/11/2015,0.362881767,amd
6/18/2015,-0.447077289,amd
6/30/2015,0.434961285,amd
7/7/2015,-0.833768307,amd
7/14/2015,-0.412403584,amd
7/21/2015,-2.029729867,amd
8/3/2015,-1.272003023,amd
8/25/2015,-0.59084195,amd
9/30/2015,-1.112244838,amd
10/15/2015,0,amd
10/23/2015,-3.749539086,amd
11/8/2015,-3.931451613,amd
11/17/2015,3.358911117,amd
12/1/2015,-2.201257862,amd
12/10/2015,-1.051275659,amd
1/13/2016,0.948432944,amd
1/21/2016,-1.117021277,amd
2/5/2016,-2.228976697,amd
2/20/2016,-1.456655159,amd
3/8/2016,2.311523861,amd
3/21/2016,0.082390123,amd
4/5/2016,-0.869485295,amd
4/13/2016,-0.182954866,amd
4/20/2016,-0.941421902,amd
4/27/2016,1.586227353,amd
5/4/2016,4.545454545,amd
5/12/2016,1.072481038,amd
5/22/2016,1.890719896,amd
5/31/2016,-0.675675676,amd
6/7/2016,2.038503716,amd
6/15/2016,-0.155260871,amd
6/29/2016,2.144080741,amd
7/8/2016,1.348264992,amd
7/18/2016,1.207729469,amd
7/25/2016,3.090945639,amd
8/13/2016,6.358381503,amd
8/22/2016,0.628210703,amd
9/6/2016,2.595007694,amd
9/13/2016,-0.576368876,amd
9/25/2016,3.602484472,amd
10/5/2016,0.162821897,amd
10/14/2016,2.737195115,amd
10/21/2016,2.174351934,amd
10/28/2016,2.059418344,amd
11/7/2016,0.023769221,amd
11/14/2016,-1.289872409,amd
11/21/2016,1.703462404,amd
11/30/2016,0.507476086,amd
12/8/2016,0.080701925,amd
12/16/2016,2.270409643,amd
12/23/2016,1.039449158,amd
