org_abbrev,earnings_period,org_keyword1,org_keyword2,doc_id,start_date,end_date
MSFT,Q311,microsoft,,microsoft,4/14/11,4/28/11
MSFT,Q211,microsoft,,microsoft,1/13/11,1/27/11
,,,,,,
IBM,Q416,ibm,,ibm,1/5/17,1/19/17
IBM,Q316,ibm,,ibm,10/3/16,10/17/16
IBM,Q216,ibm,,ibm,7/4/16,7/18/16
IBM,Q116,ibm,,ibm,4/4/16,4/18/16
IBM,Q415,ibm,,ibm,1/5/16,1/19/16
IBM,Q315,ibm,,ibm,10/5/15,10/19/15
IBM,Q215,ibm,,ibm,7/6/15,7/20/15
IBM,Q115,ibm,,ibm,4/6/15,4/20/15
IBM,Q414,ibm,,ibm,1/6/15,1/20/15
IBM,Q314,ibm,,ibm,10/6/14,10/20/14
IBM,Q214,ibm,,ibm,7/3/14,7/17/14
IBM,Q114,ibm,,ibm,4/2/14,4/16/14
IBM,Q413,ibm,,ibm,1/7/14,1/21/14
IBM,Q313,ibm,,ibm,10/2/13,10/16/13
IBM,Q213,ibm,,ibm,7/3/13,7/17/13
IBM,Q113,ibm,,ibm,4/4/13,4/18/13
IBM,Q412,ibm,,ibm,1/8/13,1/22/13
IBM,Q312,ibm,,ibm,10/2/12,10/16/12
IBM,Q212,ibm,,ibm,7/4/12,7/18/12
IBM,Q112,ibm,,ibm,4/3/12,4/17/12
IBM,Q411,ibm,,ibm,1/5/12,1/19/12
IBM,Q311,ibm,,ibm,10/3/11,10/17/11
IBM,Q211,ibm,,ibm,7/4/11,7/18/11
IBM,Q111,ibm,,ibm,4/5/11,4/19/11
IBM,Q410,ibm,,ibm,1/4/11,1/18/11
,,,,,,
NVDA,Q417,nvidia,,nvidia,1/26/17,2/9/17
NVDA,Q317,nvidia,,nvidia,10/27/16,11/10/16
NVDA,Q217,nvidia,,nvidia,7/28/16,8/11/16
NVDA,Q117,nvidia,,nvidia,4/28/16,5/12/16
NVDA,Q416,nvidia,,nvidia,2/3/16,2/17/16
NVDA,Q316,nvidia,,nvidia,10/22/15,11/5/15
NVDA,Q216,nvidia,,nvidia,7/23/15,8/6/15
NVDA,Q116,nvidia,,nvidia,4/23/15,5/7/15
NVDA,Q415,nvidia,,nvidia,1/28/15,2/11/15
NVDA,Q315,nvidia,,nvidia,10/23/14,11/6/14
NVDA,Q215,nvidia,,nvidia,7/24/14,8/7/14
NVDA,Q115,nvidia,,nvidia,4/22/14,5/6/14
NVDA,Q414,nvidia,,nvidia,1/29/14,2/12/14
NVDA,Q314,nvidia,,nvidia,10/24/13,11/7/13
NVDA,Q214,nvidia,,nvidia,7/25/13,8/8/13
NVDA,Q114,nvidia,,nvidia,4/25/13,5/9/13
NVDA,Q413,nvidia,,nvidia,1/30/13,2/13/13
NVDA,Q313,nvidia,,nvidia,10/25/12,11/8/12
NVDA,Q213,nvidia,,nvidia,7/26/12,8/9/12
NVDA,Q113,nvidia,,nvidia,4/27/12,5/11/12
NVDA,Q412,nvidia,,nvidia,2/1/12,2/15/12
NVDA,Q312,nvidia,,nvidia,10/27/11,11/10/11
NVDA,Q212,nvidia,,nvidia,7/28/11,8/11/11
NVDA,Q112,nvidia,,nvidia,4/28/11,5/12/11
NVDA,Q411,nvidia,,nvidia,2/2/11,2/16/11
,,,,,,
MU,Q217,micron technology,,micron,3/9/17,3/23/17
MU,Q117,micron technology,,micron,12/7/16,12/21/16
MU,Q416,micron technology,,micron,9/20/16,10/4/16
MU,Q316,micron technology,,micron,6/16/16,6/30/16
MU,Q216,micron technology,,micron,3/16/16,3/30/16
MU,Q116,micron technology,,micron,12/8/15,12/22/15
MU,Q415,micron technology,,micron,9/17/15,10/1/15
MU,Q315,micron technology,,micron,6/11/15,6/25/15
MU,Q215,micron technology,,micron,3/18/15,4/1/15
MU,Q115,micron technology,,micron,12/23/14,1/6/15
MU,Q414,micron technology,,micron,9/11/14,9/25/14
MU,Q314,micron technology,,micron,6/9/14,6/23/14
MU,Q214,micron technology,,micron,3/20/14,4/3/14
MU,Q114,micron technology,,micron,12/24/13,1/7/14
MU,Q413,micron technology,,micron,9/26/13,10/10/13
MU,Q313,micron technology,,micron,6/5/13,6/19/13
MU,Q213,micron technology,,micron,3/7/13,3/21/13
MU,Q113,micron technology,,micron,12/6/12,12/20/12
MU,Q412,micron technology,,micron,9/13/12,9/27/12
MU,Q312,micron technology,,micron,6/6/12,6/20/12
MU,Q212,micron technology,,micron,3/8/12,3/22/12
MU,Q112,micron technology,,micron,12/7/11,12/21/11
MU,Q411,micron technology,,micron,9/15/11,9/29/11
MU,Q311,micron technology,,micron,6/9/11,6/23/11
MU,Q211,micron technology,,micron,3/9/11,3/23/11
,,,,,,
