Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-0.484585
1/6/2016,0.366037157,-0.099608524,0.338043507,0.19307273,0.850622157,0.384976476,0.822628507,0.67765773,,,
1/13/2016,-2.628915948,-1.131439395,-0.665281443,-0.089914125,-2.144330948,-0.646854395,-0.180696443,0.394670875,,,
1/20/2016,0.038456452,-1.295229748,-0.697419136,-0.171268499,0.523041452,-0.810644748,-0.212834136,0.313316501,,,
1/27/2016,0.027404971,0.032930711,-0.549254342,-0.226897519,0.511989971,0.517515711,-0.064669342,0.257687481,,,
2/3/2016,-0.275756834,-0.124175932,-0.70970284,-0.185829666,0.208828166,0.360409068,-0.22511784,0.298755334,,,
2/10/2016,-0.868437981,-0.572097408,-0.269583348,-0.467432395,-0.383852981,-0.087512408,0.215001652,0.017152605,,,
2/17/2016,-0.459256886,-0.663847434,-0.394011683,-0.545715409,0.025328114,-0.179262434,0.090573317,-0.061130409,,,
2/24/2016,-1.113795249,-0.786526068,-0.679311738,-0.61428304,-0.629210249,-0.301941068,-0.194726738,-0.12969804,,,
3/2/2016,-2.575153061,-1.844474155,-1.254160794,-0.981931817,-2.090568061,-1.359889155,-0.769575794,-0.497346817,,,
3/9/2016,-0.525460789,-1.550306925,-1.168416496,-0.718999922,-0.040875789,-1.065721925,-0.683831496,-0.234414922,,,
3/16/2016,0.174555364,-0.175452713,-1.009963434,-0.701987558,0.659140364,0.309132287,-0.525378434,-0.217402558,,,
3/23/2016,-1.919981591,-0.872713113,-1.211510019,-0.945410879,-1.435396591,-0.388128113,-0.726925019,-0.460825879,,,
3/30/2016,-0.605447112,-1.262714351,-0.719083532,-0.986622163,-0.120862112,-0.778129351,-0.234498532,-0.502037163,,,
4/6/2016,0.309396037,-0.148025538,-0.510369326,-0.839392911,0.793981037,0.336559462,-0.025784326,-0.354807911,,,
4/13/2016,0.88266957,0.596032804,-0.333340774,-0.671652104,1.36725457,1.080617804,0.151244226,-0.187067104,,,
4/20/2016,0.521198532,0.701934051,0.276954257,-0.467277881,1.005783532,1.186519051,0.761539257,0.017307119,,,
4/27/2016,0.823648064,0.672423298,0.634228051,-0.042427741,1.308233064,1.157008298,1.118813051,0.442157259,,,
5/4/2016,-1.870744531,-0.523548233,0.089192909,-0.210588208,-1.386159531,-0.038963233,0.573777909,0.273996792,,,
5/11/2016,-1.037203307,-1.453973919,-0.39077531,-0.362058042,-0.552618307,-0.969388919,0.09380969,0.122526958,,,
5/18/2016,-2.787338358,-1.912270832,-1.217909533,-0.470477638,-2.302753358,-1.427685832,-0.733324533,0.014107362,,,
5/25/2016,-0.662422862,-1.72488061,-1.589427264,-0.477599607,-0.177837862,-1.24029561,-1.104842264,0.006985393,,,
6/1/2016,-1.667821248,-1.165122055,-1.538696444,-0.724751767,-1.183236248,-0.680537055,-1.054111444,-0.240166767,,,
6/8/2016,0.689123526,-0.489348861,-1.107114736,-0.748945023,1.173708526,-0.004763861,-0.622529736,-0.264360023,,,
6/15/2016,-0.449988857,0.119567334,-0.52277736,-0.870343447,0.034596143,0.604152334,-0.03819236,-0.385758447,,,
6/22/2016,-0.224367173,-0.337178015,-0.413263438,-1.001345351,0.260217827,0.147406985,0.071321562,-0.516760351,,,
6/29/2016,-1.18280353,-0.703585352,-0.292009009,-0.915352726,-0.69821853,-0.219000352,0.192575991,-0.430767726,,,
7/6/2016,-3.038964557,-2.110884044,-1.22403103,-1.165572883,-2.554379557,-1.626299044,-0.73944603,-0.680987883,,,
7/13/2016,-1.75346749,-2.396216024,-1.549900688,-1.036339024,-1.26888249,-1.911631024,-1.065315688,-0.551754024,,,
